frb_name,q0,chi2nu_nopsf,n_nopsf,re_nopsf,b_a_nopsf,inc_nopsf,chi2nu_psf,n_psf,re_psf,b_a_psf,inc_psf,notes
20171020A,0.2,0.374,0.55,45.98,0.4,69.30,0.431,1.0,64.83,0.38,70.75,
20180924B,0.2,0.296,1.0,3.73,0.94,20.38,0.296,1.0,2.6,0.84,33.63,
20190102C,0.2,0.338,1.0,3.47,0.87,30.21,0.338,1.0,3.01,0.26,80.24,
20190608B,0.2,0.37,1.0,7.33,0.87,30.21,0.375,1.0,6.74,0.85,32.52,
20190714A,0.2,0.516,1.0,4.54,0.64,51.65,0.513,1.0,3.74,0.38,70.75,
20191001A,0.2,0.134,1.0,5.88,0.77,40.63,0.129,1.0,5.1,0.7,46.79,
20200906A,0.2,0.569,1.0,5.44,0.49,62.84,0.568,1.0,4.81,0.29,77.62,
20210320C,0.2,0.654,1.0,4.44,0.84,33.63,0.653,1.0,3.65,0.72,45.10,
20210410D,0.2,0.171,1.0,5.11,0.58,56.24,0.169,1.0,4.05,0.05,90.00,
20210807D,0.2,0.428,1.0,15.65,0.73,44.23,0.483,1.0,14.33,0.7,46.79,
20211127I,0.2,0.471,1.0,18.16,0.94,20.38,0.507,1.0,18.16,0.93,22.03,
20211203C,0.2,0.642,1.0,3.74,0.77,40.63,0.642,1.0,2.71,0.58,56.24,
20211212A,0.2,0.028,1.0,12.61,0.86,31.39,0.027,1.0,11.83,0.85,32.52,
20220207C,0.2,0.866,1.0,32.78,0.26,80.24,0.846,1.0,29.74,0.21,86.25,
20220307B,0.2,0.871,1.0,8.85,0.75,42.46,0.855,1.0,6.3,0.65,50.86,
20220310F,0.2,0.449,1.0,5.11,0.62,53.20,0.449,1.0,4.02,0.39,70.02,
20220319D,0.2,0.696,1.0,47.69,0.65,50.86,0.669,1.0,53.49,0.63,52.43,
20220509G,0.2,0.043,1.0,16.58,0.53,59.94,0.044,1.0,16.04,0.5,62.11,
20220825A,0.2,1.118,1.0,8.07,0.72,45.10,1.115,1.0,6.02,0.62,53.20,
20220912A,0.2,0.95,1.0,7.35,0.76,41.55,0.942,1.0,5.38,0.65,50.86,
20220914A,0.2,0.131,1.0,5.81,0.75,42.46,0.125,1.0,4.07,0.53,59.94,
20220920A,0.2,0.179,1.0,7.86,0.88,29.00,0.177,1.0,6.99,0.86,31.39,
20221012A,0.2,0.373,1.0,6.54,0.64,51.65,0.371,1.0,5.39,0.54,59.21,
